,GEOID,NAME,median_age,precent_65_and_over,poverty_rate,percent_uninsured,percent_bachelors_or_higher,median_household_income
1,1,Alabama,39.7,17.79063917,14.68391028,9.703551589,27.80569929,53956
2,2,Alaska,35.5,12.98624921,9.152519561,11.57993657,31.85548832,80197
3,4,Arizona,38.6,18.53221514,12.79092223,11.16191477,32.97316478,64777
4,5,Arkansas,38.5,17.77106386,15.33172338,8.453032044,24.89598153,51183
5,6,California,37.3,15.19874554,11.42836884,7.072688917,36.92911282,83056
6,8,Colorado,37.2,15.15018202,8.955760704,8.447606331,44.17937386,77673
7,9,Connecticut,41.2,18.1625783,9.807717356,4.646765299,42.41828021,79719
8,10,Delaware,41.4,19.8687892,11.27449093,6.345966818,34.66955673,70911
9,11,District of Columbia,34.4,12.65361608,14.78853575,3.45027021,63.58132165,96762
10,12,Florida,42.7,21.36084459,12.25075446,12.35400376,33.68621628,61736
11,13,Georgia,37.6,14.77209607,13.86477603,13.04631073,34.84812482,62844
12,15,Hawaii,40,19.57312193,8.914517066,3.937462481,35.51699235,86391
13,16,Idaho,37.4,16.66652982,10.06603364,9.643287137,30.91737854,62774
14,17,Illinois,38.9,16.59918189,11.00668925,7.100941063,37.60301902,71240
15,18,Indiana,38.1,16.4285673,11.72555526,7.467366659,28.91133167,60813
16,19,Iowa,38.7,17.88035698,10.4273215,4.8848686,29.48650308,62209
17,20,Kansas,37.6,16.83946484,10.83066462,8.838340403,35.0903627,63321
18,21,Kentucky,39.3,17.15735072,14.8433508,5.799196747,27.42226362,54191
19,22,Louisiana,38,16.54332028,17.77256233,8.214237892,27.22759833,51730
20,23,Maine,45,21.80164886,10.65093579,7.450009551,33.47701798,58782
21,24,Maryland,39.2,16.36808799,8.765991796,5.714321719,43.06048289,88742
22,25,Massachusetts,39.8,17.40422312,9.42255604,2.643121055,46.89593555,87328
23,26,Michigan,40,18.18988881,12.69701348,5.269741227,32.05081982,61497
24,27,Minnesota,38.7,16.75325621,8.256539211,4.948839177,37.85252808,75523
25,28,Mississippi,38.4,16.84301357,18.75150071,11.70192448,24.53467084,47247
26,29,Missouri,39.1,17.72869203,12.11882655,10.08617465,31.91299994,58838
27,30,Montana,40.6,19.74380354,12.98099892,8.707419426,34.55475808,57211
28,31,Nebraska,37.1,16.47347605,8.999701296,8.071062267,33.25532828,64591
29,32,Nevada,38.9,16.60280429,12.3462152,11.97180826,27.99347801,64574
30,33,New Hampshire,43.3,19.3777973,6.993783739,6.092646152,40.15289991,80972
31,34,New Jersey,40.2,17.01909321,9.548350557,7.560778573,43.06032149,87016
32,35,New Mexico,38.6,18.45234195,17.80005898,9.748978542,30.11042557,52059
33,36,New York,39.5,17.4399962,12.69491291,5.177759705,39.47315838,73398
34,37,North Carolina,39.2,17.10509485,13.00929327,10.58266313,34.84229747,59580
35,38,North Dakota,35.8,16.1711152,11.03212004,7.179930102,31.76252864,61987
36,39,Ohio,39.7,17.92763275,12.65084148,6.697460065,30.64480675,60338
37,40,Oklahoma,37.1,16.40330558,14.42363355,15.27945574,26.97795733,54536
38,41,Oregon,40.2,18.64889059,10.95121134,6.57650322,36.34922278,67927
39,42,Pennsylvania,41,19.11903801,10.85961387,6.287448712,33.99159414,64910
40,44,Rhode Island,40.4,18.09360293,9.650690767,3.683647071,38.03296501,75682
41,45,South Carolina,40.2,18.64232547,13.97502606,10.46747331,31.7190131,56973
42,46,South Dakota,37.6,17.61254419,11.66380491,9.809808551,28.41444191,60643
43,47,Tennessee,39.2,17.08346928,13.68648247,10.19334751,30.71485357,56951
44,48,Texas,35.3,13.18691181,13.46021046,17.52565941,33.24088981,66031
45,49,Utah,31.6,11.77258853,7.122348022,8.474207469,36.93917822,77827
46,50,Vermont,42.8,20.72280768,9.566220682,4.131903381,42.06045336,67428
47,51,Virginia,38.9,16.25968126,9.157740099,7.242536458,41.98396239,79217
48,53,Washington,38,16.24725811,9.515680115,6.300253669,38.41182662,80408
49,54,West Virginia,43.1,20.98604539,16.16600581,6.641704327,23.11248509,49400
50,55,Wisconsin,40,18.02438169,10.06253812,5.620019555,31.8382761,64868
51,56,Wyoming,38.7,17.75754859,9.268008566,11.32060616,28.24199633,66432
